"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254839",0.957037284840483,0.390656162428694,0.846650509315478,0.461413721636502,0.644501808777308,0.999962774395567
"ENSG00000253824",0.345372764604542,1.31608220877579,1.76411942341045,0.746027843302975,0.455650595642016,0.999962774395567
"ENSG00000255740",0,NA,NA,NA,NA,NA
"ENSG00000136697",0,NA,NA,NA,NA,NA
"ENSG00000233516",0.465620989411623,-0.29326331977391,1.47289275744844,-0.199107041765853,0.842179012981148,0.999962774395567
"ENSG00000183770",0.46893703707781,-0.648918285330908,1.41838635047336,-0.457504603815696,0.647308393972177,0.999962774395567
"ENSG00000253842",1.01204636698931,0.10812001646715,1.0406508822221,0.10389653082913,0.917251460206656,0.999962774395567
"ENSG00000198879",124.849941620008,0.0968982613913203,0.420619404065387,0.230370402446429,0.817803958105431,0.999962774395567
"ENSG00000233569",0.277452027724766,0.56264136149874,1.52773382676466,0.368284940505811,0.71266078037725,0.999962774395567
"ENSG00000214915",0,NA,NA,NA,NA,NA
"ENSG00000002549",523.210501976896,-0.310936503690257,0.230994967285807,-1.34607479696967,0.178278395706379,0.999962774395567
"ENSG00000258114",0.169683273592038,0.229550098012733,3.18533771580458,0.0720646030321313,0.942550495644034,0.999962774395567
"ENSG00000263154",0,NA,NA,NA,NA,NA
"ENSG00000184992",434.209755641417,0.0891332238437416,0.196886444076865,0.452713868959631,0.650754791514589,0.999962774395567
"ENSG00000214643",0,NA,NA,NA,NA,NA
"ENSG00000230876",0.143012082858764,-0.306204762527192,2.34126051441962,-0.130786283987323,0.895944373583647,0.999962774395567
"ENSG00000106538",192.260227602304,-0.195474227100645,0.396476441028282,-0.493028606173099,0.621992374873052,0.999962774395567
"ENSG00000230720",0.184094035563126,-0.137102195403419,1.93328137967298,-0.0709168343754545,0.943463945214283,0.999962774395567
"ENSG00000169093",121.790397368145,-0.0328916118577289,0.335500831866739,-0.0980373481481961,0.921902636666441,0.999962774395567
"ENSG00000177663",106.372879232147,0.102905956620962,0.145833907123616,0.705638069024196,0.480413243565598,0.999962774395567
"ENSG00000242220",1.69783865338908,0.806363416922707,0.759971359108173,1.06104448181965,0.288669686571459,0.999962774395567
"ENSG00000227148",0,NA,NA,NA,NA,NA
"ENSG00000167100",1.41293458494436,-0.412693162854173,0.732587663094251,-0.563336217144401,0.57320596071225,0.999962774395567
"ENSG00000228512",0.253448077296441,0.208965921095439,1.85550536884525,0.112619410649017,0.910332295480619,0.999962774395567
"ENSG00000225331",0.0256476763163958,0.229550098012733,3.18533771580458,0.0720646030321313,0.942550495644034,0.999962774395567
"ENSG00000236854",0.179987473002865,0.583755118452995,3.07047267328431,0.19011897533958,0.849215901087431,0.999962774395567
"ENSG00000231901",0.25891017527435,0.331565470312315,1.86103958114876,0.178161428521392,0.85859620063033,0.999962774395567
"ENSG00000240764",1.34072645708596,0.405895650003785,1.1598415059172,0.349957858839344,0.726370324009475,0.999962774395567
"ENSG00000237604",0.636522975830306,-0.10154821548333,1.0455997673154,-0.097119585005319,0.922631427797809,0.999962774395567
"ENSG00000135919",262.683480238172,0.213433686379698,0.287210432779327,0.743126509417872,0.457405091397654,0.999962774395567
"ENSG00000177684",0,NA,NA,NA,NA,NA
"ENSG00000152766",15.4776940920289,-0.25460992587882,0.47134790962187,-0.540174085174316,0.589076982671014,0.999962774395567
"ENSG00000232698",0.200016084751482,-0.491784374771752,2.9864665346697,-0.164670981262525,0.869202958724839,0.999962774395567
"ENSG00000250081",0.172930112443945,0.238755830553923,2.62486363507075,0.0909593273204409,0.92752490913027,0.999962774395567
"ENSG00000182923",293.489567314917,0.117149943959298,0.25926929582739,0.451846577457022,0.651379512459815,0.999962774395567
"ENSG00000248599",2.72417762046877,0.316172649336412,0.820795080366969,0.385202904962655,0.700087091256654,0.999962774395567
"ENSG00000144026",87.5590942160015,0.008929000632194,0.164827996377823,0.0541716263523992,0.956798426370868,0.999962774395567
"ENSG00000156140",1.99050392736743,0.699937377953787,0.709659301656782,0.986300575952012,0.323985637230194,0.999962774395567
"ENSG00000253395",0.173337320980903,-0.315862549529026,2.23498260341407,-0.141326625561437,0.887611916551783,0.999962774395567
"ENSG00000171509",0.442718329146002,2.04795497741397,1.58775791230941,1.28984082619698,0.197105929633376,0.999962774395567
"ENSG00000166831",2.76156855879547,-0.121024831616732,0.529673113859611,-0.228489663624516,0.819265590848036,0.999962774395567
"ENSG00000107816",21.1801381010435,-0.0603668324377464,0.263193266388625,-0.229363134042382,0.818586687188297,0.999962774395567
"ENSG00000164209",55.5988142167634,0.467764516977146,0.455164371791714,1.02768262624738,0.304099142945278,0.999962774395567
"ENSG00000136828",154.542259882637,0.0243203254860107,0.226935765595048,0.107168323257643,0.914655445048865,0.999962774395567
"ENSG00000100985",25.4386911170754,0.467692840113842,0.501092638137478,0.933346061223768,0.350641320170897,0.999962774395567
"ENSG00000225050",0.0304789127520628,0.229550098012733,3.18533771580458,0.0720646030321313,0.942550495644034,0.999962774395567
"ENSG00000253614",14.8173866849495,0.325735710462793,0.383393374036246,0.849612258640644,0.395540694243347,0.999962774395567
"ENSG00000153266",0.449726321250778,-0.0637063052082046,1.58421655059955,-0.0402131294387088,0.967923210319058,0.999962774395567
"ENSG00000203386",11.9561627303865,0.440281071135203,0.494992332265948,0.889470487592626,0.373750277298459,0.999962774395567
"ENSG00000236827",0,NA,NA,NA,NA,NA
"ENSG00000234390",4.20078727051114,0.414514090282216,0.46227835324361,0.896676401509498,0.369891616472708,0.999962774395567
"ENSG00000215117",0.0700955432542793,-0.131117562906091,3.18533771580458,-0.0411628450746461,0.96716607388822,0.999962774395567
"ENSG00000180638",1.3153025974507,-0.223547305688609,0.841150647560203,-0.26576369683245,0.790421203738945,0.999962774395567
"ENSG00000253737",0.568371220450701,-0.773258306466612,0.995256323688874,-0.776943876729729,0.437191883016728,0.999962774395567
"ENSG00000204335",0.455462906544576,-0.609768877493451,1.33520677091937,-0.456684980015184,0.6478974882623,0.999962774395567
"ENSG00000248813",0.0980633710254124,0.197013619746745,3.04734441116526,0.0646509200026423,0.94845194118008,0.999962774395567
"ENSG00000261087",51.6341500282042,0.0738737631001624,0.212177352338241,0.348169879047209,0.727712607301058,0.999962774395567
"ENSG00000248378",1.17705826003367,0.280289065005911,0.850379456909063,0.32960469908892,0.741698671496983,0.999962774395567
"ENSG00000109424",0.333968984036697,-0.531295317943335,1.67955019017892,-0.31633190901353,0.751750593804885,0.999962774395567
"ENSG00000108819",7.9156844836716,-0.239798867150939,0.463801121372026,-0.51702951135944,0.605135557985377,0.999962774395567
"ENSG00000213639",5330.26812982637,0.464866782770828,0.6696054018299,0.694239893376663,0.487531778304161,0.999962774395567
"ENSG00000250164",0.126577331535749,-0.306152750209126,2.41221997695349,-0.126917425912284,0.89900575429246,0.999962774395567
"ENSG00000260256",0,NA,NA,NA,NA,NA
"ENSG00000223834",0.0293975981118292,0.229550098012733,3.18533771580458,0.0720646030321313,0.942550495644034,0.999962774395567
"ENSG00000265590",70.9225962143835,0.545868587950484,0.838067223625274,0.651342246257037,0.514825583098951,0.999962774395567
"ENSG00000235201",0,NA,NA,NA,NA,NA
"ENSG00000206262",20.6291597901011,0.329221645860091,0.39758104059482,0.82806173394874,0.407635539176687,0.999962774395567
"ENSG00000253871",0.160819355894348,0.964108346554347,2.30111203267543,0.418974970737695,0.675234424630117,0.999962774395567
"ENSG00000256750",0,NA,NA,NA,NA,NA
"ENSG00000204334",5.02756373471441,-0.21876582125633,0.385850851422622,-0.566969906765129,0.570734627325411,0.999962774395567
"ENSG00000237797",0,NA,NA,NA,NA,NA
"ENSG00000248443",2.11841889141762,0.679514472086252,0.805129153763096,0.843981948623109,0.398679492833797,0.999962774395567
"ENSG00000253679",3.4739966606569,0.689207526941546,0.528068638007476,1.30514762160859,0.191842585647296,0.999962774395567
"ENSG00000167700",24.7347204423306,0.143947831494769,0.410509371457474,0.350656626872355,0.725845968514943,0.999962774395567
"ENSG00000124562",2585.99461058219,-0.266959274800445,0.210685692993719,-1.2670973097751,0.205120497387722,0.999962774395567
"ENSG00000237921",0.161144261688126,-0.305995813378251,2.67364034907471,-0.114449130558697,0.908881769269705,0.999962774395567
"ENSG00000249261",0.243189888977953,0.23725829956468,1.65912474026213,0.143002086465901,0.886288533368957,0.999962774395567
"ENSG00000249153",0.239443811727763,0.939011189754402,2.57176128030249,0.365123776046569,0.715019013597689,0.999962774395567
"ENSG00000100031",430.379189527471,-0.131093730901968,0.550650421214602,-0.238070699397282,0.811826259936901,0.999962774395567
"ENSG00000228043",6.28489623783512,0.785540356215127,0.442212779320353,1.77638547086414,0.0756694041874091,0.999962774395567
"ENSG00000249423",0,NA,NA,NA,NA,NA
"ENSG00000233068",0,NA,NA,NA,NA,NA
"ENSG00000253282",9.76488872661376,0.294921037686041,0.299911339711876,0.983360742442652,0.325429924373118,0.999962774395567
"ENSG00000250411",0,NA,NA,NA,NA,NA
"ENSG00000255618",0.0731493189332542,0.40510966509942,3.18518707954191,0.127185516888911,0.898793568134245,0.999962774395567
